Movie; Romance; Comedy; Science; Fiction; Drama; Romantic; Fantacy; Animation;  Adventure;  Action; Thriller;  Erotic;  Crime; index; rating
Tyler Perry's Why Did I get Married;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Twilight: Breaking Dawn;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Twilight;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0
My Week with Marilyn;0;0;0;0;1;0;0;0;0;0;0;0;0;21;1
Midnight in Paris;0;1;0;0;0;1;0;0;0;0;0;0;0;22;0
Marley and Me;0;1;0;0;1;0;0;0;0;0;0;0;0;23;0
Quantum of Solace;0;0;0;0;0;0;0;0;0;1;1;0;0;40;0
Fixed;0;1;0;0;1;0;0;0;0;0;0;0;0;56;1
Everything Everywhere All at Once;0;1;0;0;1;0;0;0;0;0;0;0;0;57;1
Spring Breakers;0;1;0;0;1;0;0;0;0;0;0;0;0;58;1
