Movie; Romance; Comedy; Science; Fiction; Drama; Romantic; Fantacy; Animation;  Adventure;  Action; Thriller;  Erotic;  Crime; index; rating
Our Family Wedding;0;1;0;0;0;1;0;0;0;0;0;0;0;18;0
Not Easily Broken;0;1;0;0;1;1;0;0;0;0;0;0;0;19;1
New Years Eve;1;0;0;0;0;0;0;0;0;0;0;0;0;20;0
My Week with Marilyn;0;0;0;0;1;0;0;0;0;0;0;0;0;21;1
Midnight in Paris;0;1;0;0;0;1;0;0;0;0;0;0;0;22;0
Marley and Me;0;1;0;0;1;0;0;0;0;0;0;0;0;23;0
Jane Eyre;0;1;0;0;1;0;0;0;0;0;0;0;0;24;0
It's Complicated;0;1;0;0;0;1;0;0;0;0;0;0;0;25;0
Fireproof;0;0;0;0;1;0;0;0;0;0;0;0;0;26;1
Enchanted;0;0;0;0;0;0;0;1;1;0;0;0;0;27;0
