Movie; Romance; Comedy; Science; Fiction; Drama; Romantic; Fantacy; Animation;  Adventure;  Action; Thriller;  Erotic;  Crime; index; rating
Beginners;0;1;0;0;1;1;0;0;0;0;0;0;0;29;0
Across the Universe;0;0;0;0;1;1;0;0;0;0;0;0;0;30;0
A Serious Man;0;1;0;0;1;0;0;0;0;0;0;0;0;31;1
The Fallout;0;0;0;0;1;0;0;0;0;0;0;0;0;32;1
Ratatouille;0;1;0;0;0;0;0;1;0;0;0;0;0;52;0
The Dark Knight;0;0;0;0;0;0;0;0;0;0;1;0;1;53;0
Anora;0;1;0;0;1;1;0;0;0;0;0;0;0;54;0
Toy Story;0;0;0;0;0;0;0;1;1;0;0;0;0;55;1
Fixed;0;1;0;0;1;0;0;0;0;0;0;0;0;56;1
Everything Everywhere All at Once;0;1;0;0;1;0;0;0;0;0;0;0;0;57;1
