Movie; Romance; Comedy; Science; Fiction; Drama; Romantic; Fantacy; Animation;  Adventure;  Action; Thriller;  Erotic;  Crime; index; rating
She's Out of My League;0;1;0;0;0;1;0;0;0;0;0;0;0;13;0
Sex and the City;0;1;0;0;0;1;0;0;0;0;0;0;0;14;0
Remember Me;0;0;0;0;1;1;0;0;0;0;0;0;0;15;0
Penelope;0;1;0;0;0;1;1;0;0;0;0;0;0;16;0
Over Her Dead Body;0;1;0;0;0;1;0;0;0;0;0;0;0;17;0
Our Family Wedding;0;1;0;0;0;1;0;0;0;0;0;0;0;18;0
Not Easily Broken;0;1;0;0;1;1;0;0;0;0;0;0;0;19;1
New Years Eve;1;0;0;0;0;0;0;0;0;0;0;0;0;20;0
My Week with Marilyn;0;0;0;0;1;0;0;0;0;0;0;0;0;21;1
Midnight in Paris;0;1;0;0;0;1;0;0;0;0;0;0;0;22;0
