Movie; Romance; Comedy; Science; Fiction; Drama; Romantic; Fantacy; Animation;  Adventure;  Action; Thriller;  Erotic;  Crime; index; rating
Marley and Me;0;1;0;0;1;0;0;0;0;0;0;0;0;23;0
Jane Eyre;0;1;0;0;1;0;0;0;0;0;0;0;0;24;0
Iron Man 3;0;0;1;1;0;0;0;0;0;1;0;0;0;44;0
Alice in Wonderland;0;0;0;0;0;0;1;0;1;0;0;0;0;45;0
X-Men;0;0;1;1;0;0;0;0;0;1;0;0;0;46;0
Babygirl;0;0;0;0;0;0;0;0;0;0;1;1;0;47;1
Anora;0;1;0;0;1;1;0;0;0;0;0;0;0;54;0
Toy Story;0;0;0;0;0;0;0;1;1;0;0;0;0;55;1
Fixed;0;1;0;0;1;0;0;0;0;0;0;0;0;56;1
Everything Everywhere All at Once;0;1;0;0;1;0;0;0;0;0;0;0;0;57;1
